timestamp,eye_ar,head_direction,observation_complete
1770830942.073229,0.182,FORWARD,0
1770830942.1209266,0.176,FORWARD,0
1770830942.1626198,0.166,FORWARD,0
1770830942.21001,0.168,FORWARD,0
1770830942.2532818,0.148,FORWARD,0
1770830942.2964976,0.147,FORWARD,0
1770830942.3384118,0.159,FORWARD,0
1770830942.386435,0.141,FORWARD,0
1770830942.428489,0.135,FORWARD,0
1770830942.4706683,0.145,FORWARD,0
1770830942.5138948,0.175,FORWARD,0
1770830942.558948,0.127,FORWARD,0
1770830942.6034176,0.164,FORWARD,0
1770830942.652591,0.143,FORWARD,0
1770830942.6955595,0.14,LEFT,0
1770830942.739188,0.126,LEFT,0
1770830942.7837927,0.13,LEFT,0
1770830942.8309453,0.149,LEFT,0
1770830942.8747504,0.114,LEFT,0
1770830942.9196863,0.142,FORWARD,0
1770830942.9658744,0.13,FORWARD,0
1770830943.0087287,0.16,FORWARD,0
1770830943.052917,0.126,FORWARD,0
1770830943.0981102,0.123,FORWARD,0
1770830943.1476328,0.159,FORWARD,0
1770830943.194304,0.141,FORWARD,0
1770830943.237615,0.124,FORWARD,0
1770830943.2835774,0.113,FORWARD,0
1770830943.3303058,0.116,FORWARD,0
1770830943.3726985,0.147,FORWARD,0
1770830943.4153502,0.118,FORWARD,0
1770830943.463145,0.143,FORWARD,0
1770830943.503671,0.135,FORWARD,0
1770830943.5515053,0.122,FORWARD,0
1770830943.5923228,0.131,FORWARD,0
1770830943.638341,0.122,FORWARD,0
1770830943.683489,0.12,FORWARD,0
1770830943.732403,0.155,FORWARD,0
1770830943.7738516,0.167,FORWARD,0
1770830943.8178427,0.138,FORWARD,0
1770830943.8638303,0.147,LEFT,0
1770830943.9102767,0.148,LEFT,0
1770830943.9558835,0.156,LEFT,0
1770830944.000065,0.176,LEFT,0
1770830944.0445528,0.168,LEFT,0
1770830944.0914252,0.125,LEFT,0
1770830944.137993,0.127,LEFT,0
1770830944.183104,0.068,FORWARD,0
1770830944.2269268,0.126,FORWARD,0
1770830944.2694006,0.124,FORWARD,0
1770830944.3167682,0.131,FORWARD,0
1770830944.363372,0.12,FORWARD,0
1770830944.407977,0.107,FORWARD,0
1770830944.4539762,0.12,FORWARD,0
1770830944.5017562,0.111,FORWARD,0
1770830944.551153,0.121,FORWARD,0
1770830944.5882509,0.107,FORWARD,0
1770830944.633954,0.12,FORWARD,0
1770830944.6788967,0.103,FORWARD,0
1770830944.7241378,0.131,FORWARD,0
1770830944.7713804,0.1,FORWARD,0
1770830944.8146727,0.098,FORWARD,0
1770830944.8612652,0.112,FORWARD,0
1770830944.9024634,0.104,FORWARD,0
1770830944.9473517,0.138,FORWARD,0
1770830944.9942825,0.123,FORWARD,0
1770830945.043584,0.129,FORWARD,0
1770830945.0844812,0.147,FORWARD,0
1770830945.1296878,0.215,FORWARD,0
1770830945.1721358,0.215,FORWARD,0
1770830945.2202075,0.227,FORWARD,0
1770830945.2667022,0.24,FORWARD,0
1770830945.3064911,0.217,FORWARD,0
1770830945.3532808,0.255,FORWARD,0
1770830945.3933449,0.226,FORWARD,0
1770830945.437493,0.275,FORWARD,0
1770830945.4860585,0.279,FORWARD,0
1770830945.5292969,0.241,FORWARD,0
1770830945.5738223,0.256,FORWARD,0
1770830945.6205394,0.26,FORWARD,0
1770830945.66162,0.235,FORWARD,0
1770830945.7052226,0.26,FORWARD,0
